452949	Удомля
461703	Сортавальський район
461704	Новозавидовський
461720	Костерьово
461727	Оленівка	Кара-Аджи
461781	Зиково
461910	Звєрево
461915	Звениговський район
461916	Звенигово
461920	Звенигород
461940	Зуєвський район
461964	Зуївка
461999	Зубцовський район
462008	Зубцов
462020	Зубово-Полянський район
462033	Зубово
462050	Зубова Поляна
462156	Зольський район
462166	Золотухинський район
462169	Золотухино
462203	Золотково
462305	Знаменське
462313	Знаменське
462322	Знаменськ
462357	Знаменка
462377	Зміївка
462413	Злинка
462444	Златоуст
462467	Зірган
462521	Зимовніківський район
462522	Зимовники
462622	Зілаїрський район
462626	Зілаїр
462646	Зіанчуринський район
462745	Жулєбіне
462752	Жуковський район
462753	Жуковський район
462755	Жуковський
462792	Жуков
462815	Жуковка
462822	Жуковка
462847	Жудре
462861	Жостово
462864	Жорновка
462901	Жижиця
462912	Жиздринський район
462914	Жиздра
462964	Жирятино
462981	Жирновський район
462984	Жирновськ
463053	Жилетово
463082	Жигульовськ
463144	Жешарт
463217	Жердєвка
463229	Жемтала
463340	Желєзноводськ
463342	Желєзногорський район
463343	Желєзногорськ
463349	Залізничний район
463350	Желєзнодорожний район
463355	Желєзнодорожний
463356	Желєзнодорожний
463424	Приморський район
463465	Жайворонки
463515	Жарковський район
463516	Жарковський
463544	Жанхотеко
463568	Жадовка
463636	Зерноградський район
463637	Зерноград
463655	Зензели
463690	Землянськ
463709	Земетчинський район
463710	Земетчино
463824	Зеленокумськ
463825	Зеленоградський район
463828	Зеленоградськ
463829	Зеленоградський адміністративний округ
463830	Зеленогорськ
463834	Зеленодольський район
463835	Зеленодольськ
463838	Зеленоборський
463884	Зеленчуцький район
463885	Зеленчуцька
463966	Заюково
464018	Займище
464067	Завʼяловський район
464080	Завражжя
464101	Заволжя
464107	Заволзький район
464112	Заволжськ
464125	Шейх-Мансурівський район
464130	Масаловка
464159	Завидово
464184	Завітинський район
464290	Засосна
464468	Зарубино
464686	Зарайський район
464687	Зарайськ
464761	Заполля
464790	Заполярний
464819	Заплюсся
464829	Заплавне
464879	Західнодвінський район
464891	Західна Двіна
464992	Заокський район
464993	Заокський
465014	Занєвка
465019	Зандак
465174	Залукокоаже
465250	Залесьє
465289	Залегощенський район
465291	Залегощ
465532	Закан-Юрт
465542	Заїнський район
465543	Заїнськ
465632	Загорянський
465636	Сергієво-Посадський район
465724	Задонський район
465726	Задонськ
465767	Задніпровський район
465934	Заболотівка
466002	Юзький район
466060	Южно-Сухокумськ
466084	Южа
466117	Юсьвинський район
466133	Юстинський район
466200	Юрюзань
466214	Юрʼєв-Польський район
466215	Юрʼєв-Польський
466254	Юрʼєвецький район
466258	Юрʼєвець
466268	Юрʼянський район
466314	Юровка
466320	Юрома
466348	Юрлинський район
466404	Юринський район
466423	Юрино
466538	Юмагузіно
466646	Юккі
466653	Юхновський район
466658	Юхнов
466674	Юкаменське
466675	Юкаменський район
466710	Юганець
466724	Юг
466806	Йошкар-Ола
466873	Єйське Укріплення
466879	Єйський район
466885	Єйськ
466986	Єстомичі
466989	Єсентуцька
466990	Єсентуки
467084	Єрцево
467093	Єршовський район
467120	Єршов
467133	Єршицький район
467235	Єрмолино
467238	Єрмоліно
467246	Єрмолаєво
467250	Єрмишинський район
467252	Єрмиш
467259	Єрмекеєвський район
467260	Єрмекеєво
467477	Єнотаєвський район
467479	Єнотаєвка
467525	Ємва
467675	Єлшанка
467699	Єловський район
467753	Єльня
467755	Єльнінський район
467756	Єльниківський район
467787	Йолкино
467854	Єлизаветинська
467856	Єлизаветино
467886	Єлизаветинка
467976	Єлецький район
467978	Єлець
467987	Єленський
468037	Єланський район
468042	Єлань-Коленовський
468044	Єлань-Коліно
468063	Єлань
468080	Єлабузький район
468082	Єлабуга
468124	Катеринівський район
468180	Єкатериновка
468247	Єгорʼєвський міський округ
468250	Єгорʼєвськ
468306	Єгорлицький район
468307	Єгорлицька
468359	Єфремовський район
468390	Єфремов
468409	Єфімовський
468446	Єдрово
468483	Язиково
468486	Язиково
468587	Явас
468657	Ясний
468669	Ясногорський район
468671	Ясногорськ
468676	Ясненський район
468687	Ясна Поляна
468691	Ясна Поляна|Ясная Поляна
468746	Яшкульський район
468775	Яшалтинський район
468776	Яшалта
468782	Ясенська
468835	Лосєво
468850	Ярцевський район
468866	Ярцево
468877	Ярський район
468895	Ярославський район
468898	Ярославська область
468899	Ярославська
468902	Ярославль
468927	Ярополець
468983	Яренськ
468991	Ярезьке міське поселення
469005	Яранськ
469017	Яр
469026	Янзакаси
469048	Янтиковський район
469049	Янтіково
469087	Яніно-2
469151	Яндики
469176	Янаульський район
469178	Янаул
469275	Ямкино
469372	Ялхой-Мохк
469395	Яльчицький район
469471	Якшур-Бодьїнський район
469512	Яксатово
469534	Яковлевський район
469544	Яковлево
469577	Яковлево
469655	Яхрома
469804	Ядрінський район
469809	Ядрін
469844	Яблоновський
469933	Виєздне
469960	Витегра
469961	Витегорський район
469995	Висоцьк
470083	Високовськ
470163	Високогорський район
470195	Високиничі
470252	Вишній Волочок
470263	Вишньоволоцький район
470268	Вишнє Довге
470274	Вишков
470304	Виша
470322	Виселківський район
470338	Висєлки
470368	Вириця
470378	Вира
470390	Виползово
470443	Міський округ місто Викса
470444	Викса
470470	Вигоницький район
470473	Вигоничі
470541	Виборзький район
470542	Виборзький район
470546	Виборг
470549	Вибор
470576	Вʼязове
470578	Вʼязове
470653	Вʼязова
470665	Вʼязниківський район
470666	Вʼязники
470676	Вязьма
470709	Вяземський район
470712	Вяземка
470727	Вʼятськополянський район
470734	Вʼятські Поляни
470762	Вяртсиля
470845	Вурнари
470846	Вурнарський район
470902	Вуктильський міський округ
470905	Вуктил
471099	Всеволожський район
471101	Всеволозьк
471160	Вознесення
471173	Вознесенський район
471188	Вознесенська
471243	Вожегодський район
471245	Вожега
471323	Войсковиці
471428	Воткінський район
471430	Воткінськ
471499	Восточний
471607	Воскресенське
471633	Воскресенське
471639	Воскресенське
471642	Воскресенський район
471643	Воскресенський район
471644	Воскресенський район
471656	Воскресенськ
471760	Ворсма
471775	Ворша
471793	Воротинський район
471820	Ворошневе
471822	Ворошиловський район
471823	Північний адміністративний округ
471909	Воронцовка
471910	Воронцовка
472039	Воронезька область
472045	Воронеж
472069	Воробйовський район
472072	Алтуфʼєво
472107	Воробʼївка
472113	Воробйовка
472141	Воробʼї
472225	Волзький район
472226	Волзький район
472231	Волзький
472234	Волзьк
472271	Воля
472276	Вольський район
472278	Вольськ
472302	Воловський район
472303	Воловський район
472306	Волово
472321	Волотовський район
472350	Волосовський район
472357	Волосово
472387	Волошка
472424	Волоконівський район
472428	Волоконовка
472430	Волоколамський район
472433	Волоколамськ
472453	Вологодський район
472454	Вологодська область
472459	Вологда
472484	Володарський район
472487	Володарського
472490	Володарський
472494	Володарськ
472711	Волховський район
472722	Волхов
472750	Волгорєченськ
472751	Волго-Каспійський
472755	Волгоградська область
472757	Волгоград
472761	Волгодонськ
472871	Вокнаволок
472878	Вохтога
472883	Вохомський район
472887	Вохма
472961	Юца
473018	Внуково
473127	Владикіно
473150	Владимирське
473166	Владимирська
473247	Владимир
473249	Владикавказ
473295	Витязево
473349	Вистіно
473376	Вісімо-Уткинськ
473378	Вісім
473403	Вишневий
473532	Виноградовський муніципальний район
473546	Виноградний
473611	Віля
473627	Виловатово
473668	Вілегодський муніципальний район
473778	Видне
473787	Вічугський район
473788	Вічуга
473855	Вейделєвський район
473856	Вейделєвка
473902	Ветлузький район
473903	Ветлузький
473904	Ветлузький
473910	Ветлуга
473942	Весьєгонський район
473943	Весьєгонськ
473972	Вешняки
473984	Вешки
473992	Вешкаймський район
473994	Верхня Туарма
473998	Вешенська
474004	Вещево
474113	Веселівський район
474120	Веселовка
474279	Веркола
474324	Верховʼя
474331	Верховський район
474354	Верховажʼє
474355	Верховазький район
474367	Верхососна
474370	Верхошижемьє
474372	Верхошижемський район
474427	Верхня Якушка
474462	Верхня Тура
474470	Верхня Тойма
474473	Верхня Тишанка
474663	Кіща
474669	Верхня Хава
474743	Верхня Балкарія
474761	Верхній Згід
474795	Верхній Услон
474821	Верхній Тагіл
474902	Верхній Наур
474916	Верхній Мамон
474926	Верхній Ломов
474931	Верхній Ландех
474940	Верхній Куркужин
475030	Верхні Татишли
475041	Верхні Серги
475060	Верхні Осельки
475100	Верхні Кіги
475196	Верхній Баскунчак
475206	Верхній Авзян
475332	Верхнє Алопово
475438	Верхньояркеєво
475457	Верхньоуслонський район
475462	Верхньоуральський район
475463	Верхньоуральськ
475469	Верхньотуломський
475472	Верхньотоємський муніципальний район
475492	Спаський Погост
475541	Верхньомамонський район
475550	Верхнєландеховський район
475572	Верхньохавський район
475612	Верхньодонський район
475614	Верхньодніпровський
475701	Верея
475772	Верещагінський район
475777	Верещагіно
475846	Вербежичі
475868	Венци
475878	Веньовський район
475881	Веньов
475937	Вельський муніципальний район
475938	Вельськ
475952	Велізький район
475955	Веліж
476028	Великовічне
476029	Великоустюзький район
476035	Великоріцьке
476047	Великомихайлівка
476048	Великолуцький район
476055	Великодворський
476062	Великий Устюг
476077	Великі Луки
476248	Веденський район
476252	Ведено
476297	Важини
476316	Ваймуша
476341	Вавозький район
476343	Вавож
476417	Васюринська
476500	Васкелово
476548	Василівський Мох
476732	Васільсурськ
476815	Василеострівний район
476844	Вашкінський район
476980	Варнавинський район
476982	Варнавино
477039	Варениківська
477189	Валуйський район
477192	Валуйки
477279	Валерик
477280	Валеріановськ
477295	Валдайський район
477301	Валдай
477340	Вахруші
477406	Вадський район
477417	Вадінський район
477418	Вадінськ
477424	Вад
477425	Вачський район
477432	Вачі
477440	Вача
477487	Узловський район
477494	Узлова
477579	Уємський
